"runId";"test name";"dim";"algo";"running time (s)";"comparsions count"
"18";"parallel fronts";"1000";"ENLU";"0,001903";"72150"
"18";"parallel fronts";"1000";"NSGA2";"0,018597";"999000"
"18";"circle fronts";"1000";"my";"0,005488";"104606"
"18";"circle fronts";"1000";"ENLU";"0,056621";"456843"
"18";"circle fronts";"1000";"NSGA2";"0,024196";"999000"
"18";"stripe";"1000";"my";"0,003982";"98926"
"18";"stripe";"1000";"ENLU";"0,043461";"266608"
"18";"stripe";"1000";"NSGA2";"0,021943";"999000"
"18";"diag";"1000";"my";"0,000378";"16973"
"18";"diag";"1000";"ENLU";"0,000436";"999"
"18";"diag";"1000";"NSGA2";"0,017266";"999000"
"19";"square";"1000";"my";"0,002249";"58896"
"19";"square";"1000";"ENLU";"0,013128";"196160"
"19";"square";"1000";"NSGA2";"0,021946";"999000"
"19";"parallel fronts";"1000";"my";"0,001329";"36423"
"19";"parallel fronts";"1000";"ENLU";"0,00182";"75138"
"19";"parallel fronts";"1000";"NSGA2";"0,018005";"999000"
"19";"circle fronts";"1000";"my";"0,004666";"105980"
"19";"circle fronts";"1000";"ENLU";"0,054304";"446866"
"19";"circle fronts";"1000";"NSGA2";"0,022812";"999000"
"19";"stripe";"1000";"my";"0,003952";"96425"
"19";"stripe";"1000";"ENLU";"0,040768";"264437"
"19";"stripe";"1000";"NSGA2";"0,021501";"999000"
"19";"diag";"1000";"my";"0,000365";"16973"
"19";"diag";"1000";"ENLU";"0,000361";"999"
"19";"diag";"1000";"NSGA2";"0,017595";"999000"
"20";"square";"1000";"my";"0,002105";"56655"
"20";"square";"1000";"ENLU";"0,013741";"223612"
"20";"square";"1000";"NSGA2";"0,02168";"999000"
"20";"parallel fronts";"1000";"my";"0,001195";"34291"
"20";"parallel fronts";"1000";"ENLU";"0,001723";"76735"
"20";"parallel fronts";"1000";"NSGA2";"0,017492";"999000"
"20";"circle fronts";"1000";"my";"0,004213";"106768"
"20";"circle fronts";"1000";"ENLU";"0,058831";"482621"
"20";"circle fronts";"1000";"NSGA2";"0,022657";"999000"
"20";"stripe";"1000";"my";"0,003656";"81440"
"20";"stripe";"1000";"ENLU";"0,033502";"231367"
"20";"stripe";"1000";"NSGA2";"0,021656";"999000"
"20";"diag";"1000";"my";"0,000398";"16973"
"20";"diag";"1000";"ENLU";"0,000415";"999"
"20";"diag";"1000";"NSGA2";"0,017568";"999000"
"21";"square";"1000";"my";"0,002114";"60896"
"21";"square";"1000";"ENLU";"0,012356";"213676"
"21";"square";"1000";"NSGA2";"0,022383";"999000"
"21";"parallel fronts";"1000";"my";"0,000954";"34236"
"21";"parallel fronts";"1000";"ENLU";"0,001703";"70981"
"21";"parallel fronts";"1000";"NSGA2";"0,021427";"999000"
"21";"circle fronts";"1000";"my";"0,00767";"108860"
"21";"circle fronts";"1000";"ENLU";"0,068711";"492699"
"21";"circle fronts";"1000";"NSGA2";"0,02498";"999000"
"21";"stripe";"1000";"my";"0,003669";"94391"
"21";"stripe";"1000";"ENLU";"0,038668";"244128"
"21";"stripe";"1000";"NSGA2";"0,028538";"999000"
"21";"diag";"1000";"my";"0,000399";"16973"
"21";"diag";"1000";"ENLU";"0,00043";"999"
"21";"diag";"1000";"NSGA2";"0,018825";"999000"
"22";"square";"1000";"my";"0,002187";"56861"
"22";"square";"1000";"ENLU";"0,016021";"182813"
"22";"square";"1000";"NSGA2";"0,028384";"999000"
"22";"parallel fronts";"1000";"my";"0,001071";"34918"
"22";"parallel fronts";"1000";"ENLU";"0,001818";"74721"
"22";"parallel fronts";"1000";"NSGA2";"0,028527";"999000"
"22";"circle fronts";"1000";"my";"0,00584";"112996"
"22";"circle fronts";"1000";"ENLU";"0,0736";"449865"
"22";"circle fronts";"1000";"NSGA2";"0,026133";"999000"
"22";"stripe";"1000";"my";"0,00595";"83342"
"22";"stripe";"1000";"ENLU";"0,046993";"233063"
"22";"stripe";"1000";"NSGA2";"0,021958";"999000"
"22";"diag";"1000";"my";"0,000355";"16973"
"22";"diag";"1000";"ENLU";"0,000352";"999"
"22";"diag";"1000";"NSGA2";"0,017343";"999000"
"23";"square";"1000";"my";"0,00255";"55598"
"23";"square";"1000";"ENLU";"0,011588";"180062"
"23";"square";"1000";"NSGA2";"0,022189";"999000"
"23";"parallel fronts";"1000";"my";"0,001203";"33936"
"23";"parallel fronts";"1000";"ENLU";"0,00175";"74619"
"23";"parallel fronts";"1000";"NSGA2";"0,017471";"999000"
"23";"circle fronts";"1000";"my";"0,004042";"104190"
"23";"circle fronts";"1000";"ENLU";"0,06106";"469354"
"23";"circle fronts";"1000";"NSGA2";"0,023384";"999000"
"23";"stripe";"1000";"my";"0,003751";"89570"
"23";"stripe";"1000";"ENLU";"0,039219";"245796"
"23";"stripe";"1000";"NSGA2";"0,022064";"999000"
"23";"diag";"1000";"my";"0,000403";"16973"
"23";"diag";"1000";"ENLU";"0,000353";"999"
"23";"diag";"1000";"NSGA2";"0,017357";"999000"
"24";"square";"1000";"my";"0,0019";"54839"
"24";"square";"1000";"ENLU";"0,010495";"173483"
"24";"square";"1000";"NSGA2";"0,022678";"999000"
"24";"parallel fronts";"1000";"my";"0,000979";"36772"
"24";"parallel fronts";"1000";"ENLU";"0,001782";"73043"
"24";"parallel fronts";"1000";"NSGA2";"0,019001";"999000"
"24";"circle fronts";"1000";"my";"0,004478";"113141"
"24";"circle fronts";"1000";"ENLU";"0,061647";"458324"
"24";"circle fronts";"1000";"NSGA2";"0,022486";"999000"
"24";"stripe";"1000";"my";"0,003945";"89404"
"24";"stripe";"1000";"ENLU";"0,036675";"246234"
"24";"stripe";"1000";"NSGA2";"0,025329";"999000"
"24";"diag";"1000";"my";"0,000344";"16973"
"24";"diag";"1000";"ENLU";"0,000399";"999"
"24";"diag";"1000";"NSGA2";"0,020567";"999000"
"25";"square";"1000";"my";"0,002369";"58259"
"25";"square";"1000";"ENLU";"0,012293";"201505"
"25";"square";"1000";"NSGA2";"0,028734";"999000"
"25";"parallel fronts";"1000";"my";"0,001126";"33647"
"25";"parallel fronts";"1000";"ENLU";"0,002225";"67854"
"25";"parallel fronts";"1000";"NSGA2";"0,018118";"999000"
"25";"circle fronts";"1000";"my";"0,004884";"112742"
"25";"circle fronts";"1000";"ENLU";"0,061499";"452998"
"25";"circle fronts";"1000";"NSGA2";"0,022672";"999000"
"25";"stripe";"1000";"my";"0,003911";"97423"
"25";"stripe";"1000";"ENLU";"0,03936";"249658"
"25";"stripe";"1000";"NSGA2";"0,022188";"999000"
"25";"diag";"1000";"my";"0,000343";"16973"
"25";"diag";"1000";"ENLU";"0,000368";"999"
"25";"diag";"1000";"NSGA2";"0,017412";"999000"
"26";"square";"1000";"my";"0,002648";"53333"
"26";"square";"1000";"ENLU";"0,012772";"185065"
"26";"square";"1000";"NSGA2";"0,022355";"999000"
"26";"parallel fronts";"1000";"my";"0,001262";"33999"
"26";"parallel fronts";"1000";"ENLU";"0,001741";"72727"
"26";"parallel fronts";"1000";"NSGA2";"0,019918";"999000"
"26";"circle fronts";"1000";"my";"0,004043";"93723"
"26";"circle fronts";"1000";"ENLU";"0,051605";"432181"
"26";"circle fronts";"1000";"NSGA2";"0,023427";"999000"
"26";"stripe";"1000";"my";"0,003454";"80839"
"26";"stripe";"1000";"ENLU";"0,032943";"229633"
"26";"stripe";"1000";"NSGA2";"0,022483";"999000"
"26";"diag";"1000";"my";"0,000372";"16973"
"26";"diag";"1000";"ENLU";"0,000352";"999"
"26";"diag";"1000";"NSGA2";"0,017031";"999000"
"27";"square";"1000";"my";"0,002373";"57668"
"27";"square";"1000";"ENLU";"0,012585";"195970"
"27";"square";"1000";"NSGA2";"0,02179";"999000"
"27";"parallel fronts";"1000";"my";"0,001268";"34854"
"27";"parallel fronts";"1000";"ENLU";"0,001784";"73902"
"27";"parallel fronts";"1000";"NSGA2";"0,017734";"999000"
"27";"circle fronts";"1000";"my";"0,004208";"101736"
"27";"circle fronts";"1000";"ENLU";"0,05507";"439477"
"27";"circle fronts";"1000";"NSGA2";"0,0222";"999000"
"27";"stripe";"1000";"my";"0,003511";"93082"
"27";"stripe";"1000";"ENLU";"0,043785";"252921"
"27";"stripe";"1000";"NSGA2";"0,022031";"999000"
"27";"diag";"1000";"my";"0,000346";"16973"
"27";"diag";"1000";"ENLU";"0,000362";"999"
"27";"diag";"1000";"NSGA2";"0,017549";"999000"
"28";"square";"1000";"my";"0,002707";"57525"
"28";"square";"1000";"ENLU";"0,012482";"199909"
"28";"square";"1000";"NSGA2";"0,021779";"999000"
"28";"parallel fronts";"1000";"my";"0,001135";"34827"
"28";"parallel fronts";"1000";"ENLU";"0,001652";"74718"
"28";"parallel fronts";"1000";"NSGA2";"0,021011";"999000"
"28";"circle fronts";"1000";"my";"0,005658";"108017"
"28";"circle fronts";"1000";"ENLU";"0,071975";"438220"
"28";"circle fronts";"1000";"NSGA2";"0,023271";"999000"
"28";"stripe";"1000";"my";"0,00405";"80679"
"28";"stripe";"1000";"ENLU";"0,044076";"236587"
"28";"stripe";"1000";"NSGA2";"0,028871";"999000"
"28";"diag";"1000";"my";"0,000392";"16973"
"28";"diag";"1000";"ENLU";"0,000395";"999"
"28";"diag";"1000";"NSGA2";"0,025088";"999000"
"29";"square";"1000";"my";"0,003607";"58008"
"29";"square";"1000";"ENLU";"0,014823";"203418"
"29";"square";"1000";"NSGA2";"0,02429";"999000"
"29";"parallel fronts";"1000";"my";"0,001746";"33880"
"29";"parallel fronts";"1000";"ENLU";"0,002339";"70301"
"29";"parallel fronts";"1000";"NSGA2";"0,028898";"999000"
"29";"circle fronts";"1000";"my";"0,006143";"111558"
"29";"circle fronts";"1000";"ENLU";"0,088169";"471940"
"29";"circle fronts";"1000";"NSGA2";"0,034518";"999000"
"29";"stripe";"1000";"my";"0,003953";"90961"
"29";"stripe";"1000";"ENLU";"0,038683";"249487"
"29";"stripe";"1000";"NSGA2";"0,023213";"999000"
"29";"diag";"1000";"my";"0,000413";"16973"
"29";"diag";"1000";"ENLU";"0,000357";"999"
"29";"diag";"1000";"NSGA2";"0,017089";"999000"
"30";"square";"1000";"my";"0,002289";"58232"
"30";"square";"1000";"ENLU";"0,012873";"225798"
"30";"square";"1000";"NSGA2";"0,021546";"999000"
"30";"parallel fronts";"1000";"my";"0,001206";"34714"
"30";"parallel fronts";"1000";"ENLU";"0,001551";"70334"
"30";"parallel fronts";"1000";"NSGA2";"0,025618";"999000"
"30";"circle fronts";"1000";"my";"0,004486";"108323"
"30";"circle fronts";"1000";"ENLU";"0,07046";"451391"
"30";"circle fronts";"1000";"NSGA2";"0,024853";"999000"
"30";"stripe";"1000";"my";"0,003721";"82491"
"30";"stripe";"1000";"ENLU";"0,035135";"236456"
"30";"stripe";"1000";"NSGA2";"0,024076";"999000"
"30";"diag";"1000";"my";"0,000346";"16973"
"30";"diag";"1000";"ENLU";"0,000421";"999"
"30";"diag";"1000";"NSGA2";"0,020124";"999000"
"31";"square";"1000";"my";"0,00321";"57619"
"31";"square";"1000";"ENLU";"0,013024";"215678"
"31";"square";"1000";"NSGA2";"0,021789";"999000"
